Food_Item,Calories_per_100g,Protein_per_100g,Carbs_per_100g,Fat_per_100g,Diet_Type,Allergy,Food_Category,Meal_Time,Portion_Size
Cabbage and Carrot Salad,80,3.0,18.0,1.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Sprouts Salad,140,10.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Mung Bean Salad,180,9.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Pineapple Salad,120,2.0,30.0,0.0,Vegan,None,Fruit,Snack,1 cup (150g)
Chia Seed Pudding with Almond Milk,170,6.0,15.0,10.0,Vegan,None,Nuts,Breakfast,1 cup (150g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Walnuts,185,4.0,4.0,18.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Chickpea Salad with Cucumber,150,10.0,20.0,5.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Chapati with Mixed Vegetables,180,7.0,30.0,4.0,Vegetarian,None,Meal,Lunch,1 chapati with 1 bowl vegetables
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Upma,150,4.0,30.0,2.5,Balanced,Gluten,Indian Dish,Breakfast,1 serving (200g)
Greek Yogurt (unsweetened),100,10.0,8.0,5.0,High-Protein,Dairy,Dairy,Snack,1 cup (150g)
Whole Wheat Chapati with Ghee,150,4.0,25.0,5.0,Vegetarian,Gluten,Grain,Lunch,1 chapati (50g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Almond Butter on Apple Slices,150,4.0,18.0,9.0,Vegan,None,Nuts,Snack,1 serving (100g)
Apple,95,0.5,25.0,0.3,Vegan,None,Fruit,Snack,1 medium (150g)
Smashed Avocado on Toast,210,6.0,18.0,14.0,Vegetarian,Gluten,Nuts,Breakfast,1 slice (100g)
Methi Paratha,170,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Moong Dal Khichdi,200,10.0,30.0,5.0,Vegetarian,None,Meal,Lunch,1 bowl (250g)
Peanuts,170,7.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Tandoori Chicken (Grilled Chicken),200,30.0,4.0,8.0,Non-Vegetarian,None,Protein,Dinner,1 piece (150g)
Sunflower Seeds,165,6.0,7.0,14.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Vegetable Stir Fry with Tofu,200,12.0,15.0,10.0,Vegan,Soy,Protein,Lunch,1 bowl (200g)
Sprouts Salad,140,10.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Quinoa and Roasted Veggie Bowl,300,12.0,40.0,10.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Baked Chicken Breast,250,40.0,0.0,10.0,High-Protein,None,Meat,Dinner,1 breast (150g)
Chia Pudding with Berries,180,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Boiled Eggs with Spinach,140,12.0,6.0,9.0,Vegetarian,Eggs,Protein,Breakfast,2 eggs (150g)
Chickpea Salad,150,8.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Avocado Toast on Whole Wheat Bread,230,7.0,18.0,16.0,Vegetarian,Gluten,Nuts,Breakfast,1 slice (100g)
Baked Salmon with Spinach,300,20.0,10.0,20.0,Non-Vegetarian,Fish,Protein,Lunch,1 serving (200g)
Baked Salmon with Vegetables,350,30.0,10.0,20.0,Low-Carb,Fish,Meat,Dinner,1 serving (200g)
Whole Wheat Chapati with Ghee,150,4.0,25.0,5.0,Vegetarian,Gluten,Grain,Lunch,1 chapati (50g)
Chicken Salad,300,30.0,5.0,15.0,Low-Carb,None,Protein,Lunch,1 bowl (200g)
Sweet Potato and Chickpea Salad,220,8.0,35.0,6.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Egg White Scramble with Spinach,180,20.0,6.0,7.0,Vegetarian,Eggs,Protein,Breakfast,1 serving (150g)
Greek Yogurt with Honey and Walnuts,200,12.0,18.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Broccoli and Tofu Stir Fry,220,15.0,20.0,10.0,Vegan,None,Protein,Lunch,1 bowl (200g)
Peanuts,170,7.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Pineapple Salad,120,2.0,30.0,0.0,Vegan,None,Fruit,Snack,1 cup (150g)
Khichdi (Rice and Lentil Porridge),200,8.0,40.0,2.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Vegetable Soup,80,3.0,15.0,1.0,Low-Calorie,None,Soup,Dinner,1 bowl (250g)
Pineapple and Cucumber Salad,100,1.0,25.0,1.0,Vegan,None,Fruit,Snack,1 bowl (150g)
Coconut Chips,200,2.0,10.0,18.0,Vegan,None,Snack,Snack,1 ounce (28g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Almond Butter Toast,190,6.0,15.0,12.0,Vegetarian,Nuts,Nuts,Breakfast,1 slice (60g)
Soya Bean Chutney,120,9.0,10.0,5.0,Vegan,None,Legumes,Lunch,2 tbsp (50g)
Boiled Corn on the Cob,150,5.0,30.0,2.0,Vegan,None,Vegetable,Snack,1 cob (150g)
Masala Chaas (Spiced Buttermilk),50,3.0,5.0,2.0,Vegetarian,Dairy,Dairy,Snack,1 glass (150g)
Steamed Broccoli with Lemon,60,5.0,10.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Baked Salmon with Spinach,300,20.0,10.0,20.0,Non-Vegetarian,Fish,Protein,Lunch,1 serving (200g)
Cheese (Cheddar),115,7.0,1.0,9.0,High-Protein,Dairy,Dairy,Snack,1 slice (30g)
Chia Seed Pudding,180,5.0,25.0,8.0,Vegan,None,Snack,Snack,1 small bowl (100g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Avocado Toast,350,7.0,40.0,20.0,Vegetarian,None,Snack,Snack,1 slice (100g)
Steamed Broccoli with Lemon,60,5.0,10.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Boiled Corn on the Cob,150,5.0,30.0,2.0,Vegan,None,Vegetable,Snack,1 cob (150g)
Green Beans,31,2.0,7.0,0.1,Vegan,None,Vegetable,Snack,1 cup (125g)
Carrot Halwa,180,4.0,30.0,5.0,Vegetarian,None,Vegetable,Snack,1 bowl (100g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Sweet Potato Chaat,180,4.0,35.0,3.0,Vegan,None,Vegetable,Snack,1 plate (150g)
Spinach and Tomato Omelette,180,14.0,8.0,12.0,Vegetarian,Eggs,Protein,Breakfast,1 omelette (150g)
Pumpkin Seeds,180,9.0,4.0,15.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Gajar Halwa (Carrot Pudding),350,5.0,50.0,15.0,Vegetarian,Dairy,Dessert,Snack,1 small bowl (100g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Cabbage Stir Fry with Tofu,200,15.0,15.0,12.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Soya Bean Chutney,120,9.0,10.0,5.0,Vegan,None,Legumes,Lunch,2 tbsp (50g)
Rajma (Kidney Bean Curry),300,15.0,50.0,7.0,Vegetarian,None,Meal,Lunch,1 serving (200g)
Tandoori Salmon,300,35.0,8.0,15.0,Low-Carb,Fish,Meal,Dinner,1 fillet (180g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Steamed Moong Dal with Ginger,120,9.0,18.0,2.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Lentil Soup,180,12.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Chia Pudding with Berries,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
Boiled Eggs with Spinach,140,12.0,6.0,9.0,Vegetarian,Eggs,Protein,Breakfast,2 eggs (150g)
Spinach and Mushroom Soup,110,6.0,12.0,5.0,Vegetarian,None,Vegetable,Lunch,1 bowl (150g)
Vegetable Poha,200,6.0,35.0,5.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Rajma Chawal,350,12.0,60.0,5.0,High-Carb,None,Indian Dish,Lunch,1 plate (300g)
Chicken Stew,200,20.0,10.0,8.0,High-Protein,None,Soup,Dinner,1 bowl (250g)
Chicken Salad,300,30.0,5.0,15.0,Low-Carb,None,Protein,Lunch,1 bowl (200g)
Palak Chaat,250,6.0,30.0,12.0,Vegetarian,None,Snack,Afternoon Snack,1 plate (150g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Boiled Corn on the Cob,150,5.0,30.0,2.0,Vegan,None,Vegetable,Snack,1 cob (150g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Flax Seeds,150,5.0,8.0,12.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Chia Pudding with Berries,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Broccoli and Tofu Stir Fry,220,15.0,20.0,10.0,Vegan,None,Protein,Lunch,1 bowl (200g)
Pesarattu (Green Gram Pancake),250,14.0,30.0,8.0,High-Protein,None,Meal,Breakfast,2 pancakes (200g)
Cucumber and Tomato Salad,100,3.0,10.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Rajma Chawal,350,12.0,60.0,5.0,High-Carb,None,Indian Dish,Lunch,1 plate (300g)
Chia Seed Pudding with Almond Milk,170,6.0,15.0,10.0,Vegan,None,Nuts,Breakfast,1 cup (150g)
Zucchini Noodles with Avocado,180,6.0,10.0,15.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Chana Masala,350,15.0,55.0,8.0,Vegan,None,Meal,Lunch,1 serving (200g)
Steamed Moong Dal with Ginger,120,9.0,18.0,2.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Steamed Veggie Wraps,150,5.0,30.0,4.0,Vegan,None,Vegetable,Lunch,1 wrap (150g)
Cabbage Stir Fry,100,3.0,12.0,5.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Kadhi Pakora,350,12.0,45.0,15.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Kale Salad with Olive Oil,150,4.0,10.0,12.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Vegetable Samosa,200,5.0,25.0,10.0,Vegetarian,None,Snack,Snack,1 piece (50g)
Spinach and Tomato Omelette,180,14.0,8.0,12.0,Vegetarian,Eggs,Protein,Breakfast,1 omelette (150g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
Mixed Nuts with Berries,220,8.0,15.0,15.0,Vegan,Nuts,Nuts,Snack,1 serving (50g)
Flax Seeds,150,5.0,8.0,12.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Chickpea Salad,150,8.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Vegetable Stir Fry with Tofu,200,12.0,15.0,10.0,Vegan,Soy,Protein,Lunch,1 bowl (200g)
Steamed Veggie Wraps,150,5.0,30.0,4.0,Vegan,None,Vegetable,Lunch,1 wrap (150g)
Kale Chips,100,5.0,8.0,6.0,Vegan,None,Vegetable,Snack,1 serving (50g)
Mango Chia Pudding,250,6.0,45.0,10.0,Vegan,None,Dessert,Snack,1 small bowl (150g)
Almond Butter Toast,190,6.0,15.0,12.0,Vegetarian,Nuts,Nuts,Breakfast,1 slice (60g)
Cucumber and Tomato Salad,100,3.0,10.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Vegetable Soup,100,4.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Tomato Soup with Basil,100,2.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Khichdi (Rice and Lentil Porridge),200,8.0,40.0,2.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Ragi Dosa,160,5.0,28.0,3.0,Vegan,Gluten,Grain,Breakfast,1 dosa (100g)
Greek Yogurt with Honey and Walnuts,200,12.0,18.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Carrot,41,0.9,10.0,0.2,Vegan,None,Vegetable,Snack,1 medium (60g)
Cheese (Cheddar),115,7.0,1.0,9.0,High-Protein,Dairy,Dairy,Snack,1 slice (30g)
Baked Chicken Breast,250,40.0,0.0,10.0,High-Protein,None,Meat,Dinner,1 breast (150g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Shahi Paneer,450,20.0,25.0,25.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
